,word,mean_ga,mean_freq
239,сипловатый_ADJ,0.624515175819397,3.666698830858956e-07
147,трясущийся_ADJ,0.6169785857200623,3.4024030861745233e-07
51,фаршированный_ADJ,0.6038722991943359,6.678356281844689e-07
101,малосольный_ADJ,0.5968606472015381,9.545775701553322e-07
116,солененький_ADJ,0.5965728759765625,3.5067229057022406e-07
100,отекший_ADJ,0.5859848260879517,4.5536925249754897e-07
225,клочковатый_ADJ,0.5836750268936157,1.164814548071981e-06
136,холодненький_ADJ,0.5815056562423706,7.603115675832948e-07
92,каргопольский_ADJ,0.5796424150466919,5.242175499571803e-07
201,лавровый_ADJ,0.5791723132133484,5.0155604965530004e-06
87,мужичий_ADJ,0.574889063835144,1.7310838082639312e-06
139,припухлый_ADJ,0.5739826560020447,7.198577903782481e-07
185,прогорклый_ADJ,0.573062002658844,8.168343736028083e-07
167,яшмовый_ADJ,0.572205126285553,4.839367071200041e-07
32,высохший_ADJ,0.5673266649246216,4.643671020830321e-06
99,русалочий_ADJ,0.5668497085571289,4.6906588531034944e-07
17,смачный_ADJ,0.5653303861618042,7.758851935770298e-07
163,леопардовый_ADJ,0.562233030796051,4.2966018685661526e-07
91,осоловелый_ADJ,0.5599029064178467,5.242551134290063e-07
164,венчальный_ADJ,0.5587117075920105,1.1844917198081825e-06
103,бархатный_ADJ,0.5539637207984924,2.618280197519682e-05
134,овсяный_ADJ,0.552077054977417,1.718675934224252e-06
60,узловатый_ADJ,0.5499515533447266,2.17484201082998e-06
141,игольчатый_ADJ,0.5497223734855652,9.878724602605625e-07
238,горшечный_ADJ,0.5492442846298218,3.7238168521180125e-07
110,блинный_ADJ,0.5488791465759277,5.418853284589465e-07
27,златокудрый_ADJ,0.5422718524932861,2.8589532289781184e-07
191,скопинский_ADJ,0.5412538647651672,2.952684054323097e-07
73,аспидный_ADJ,0.5406785607337952,1.0315780626640828e-06
222,лиловый_ADJ,0.5402703881263733,1.630250181903231e-05
69,разгоряченный_ADJ,0.539908766746521,4.228597716650274e-07
83,заплесневелый_ADJ,0.5396787524223328,1.0769696475577965e-06
30,коротконогий_ADJ,0.5318571329116821,1.604138195594512e-06
79,внучатый_ADJ,0.5288736820220947,8.060634068907634e-07
230,ухабистый_ADJ,0.5265204906463623,6.095946237195148e-07
15,заплаканный_ADJ,0.5259407162666321,8.88719245073147e-07
86,узкоглазый_ADJ,0.5242783427238464,9.384847693785445e-07
155,желтоватый_ADJ,0.5237240195274353,1.0553713228539934e-05
84,холоднокровный_ADJ,0.5232478380203247,2.275002770454338e-07
65,жилистый_ADJ,0.5225450992584229,5.781240277345232e-06
72,кахетинский_ADJ,0.5224572420120239,1.0263132792201214e-06
199,равносторонний_ADJ,0.521777868270874,3.819391169496397e-07
244,тополевой_ADJ,0.5166642665863037,6.380237366033819e-07
20,обожженный_ADJ,0.5111072063446045,1.5106889327085844e-06
233,сверкающий_ADJ,0.5061210989952087,1.0025478897108475e-06
138,седельный_ADJ,0.5032683610916138,7.173712931350191e-07
39,нужный_ADJ,0.5028321743011475,0.0010680873701672377
175,двубортный_ADJ,0.49577730894088745,1.0239486074090687e-06
120,стоячий_ADJ,0.4908198416233063,4.493277487710783e-06
74,полноватый_ADJ,0.48793572187423706,1.2241386924522343e-06
114,жалованный_ADJ,0.4875844419002533,6.820721112662951e-07
219,горластый_ADJ,0.48646241426467896,1.6481009943262531e-06
228,гнойный_ADJ,0.48634064197540283,2.4854513089138966e-06
3,полусонный_ADJ,0.4829963147640228,2.7878919244208233e-06
50,наживной_ADJ,0.4827783703804016,6.565867408060542e-07
90,испорченный_ADJ,0.4816676378250122,4.80798166505517e-07
223,фиолетовый_ADJ,0.47812891006469727,1.6018020964695174e-05
11,стекловидный_ADJ,0.4776928126811981,6.44765318668662e-07
212,подъездный_ADJ,0.4776782691478729,1.2770548920099023e-06
220,широкоплечий_ADJ,0.4710933268070221,6.397150043078792e-06
180,одноногий_ADJ,0.47060254216194153,1.3418414920122582e-06
200,непослушный_ADJ,0.46812647581100464,4.831136014042262e-06
216,бензольный_ADJ,0.4620913863182068,3.0588533075693077e-07
58,староверческий_ADJ,0.46194395422935486,4.949787873035792e-07
45,сознательный_ADJ,0.46159687638282776,3.0651514228705483e-05
98,неподражаемый_ADJ,0.46135959029197693,2.4957882082393566e-06
29,плебейский_ADJ,0.4597321152687073,1.5611786564863484e-06
203,хлипкий_ADJ,0.4577198624610901,2.1109481342206905e-06
26,маргариновый_ADJ,0.4567163586616516,3.341015691270664e-07
106,треугольный_ADJ,0.4559157192707062,7.951390827369265e-06
173,безусловный_ADJ,0.455607146024704,1.9872683908417215e-05
181,всемилостивый_ADJ,0.4548773467540741,1.3084491426056815e-06
205,приземистый_ADJ,0.4505551755428314,7.726403002492888e-06
159,тыльный_ADJ,0.44891706109046936,3.233987930359256e-06
179,безжизненный_ADJ,0.44441381096839905,7.287835273084725e-06
35,другой_ADJ,0.4439919590950012,0.0031675506599758044
206,лоскутный_ADJ,0.4431062936782837,2.4183847963740835e-06
61,неугасимый_ADJ,0.4418308138847351,2.1528465228703496e-06
197,одетый_ADJ,0.4405165910720825,5.207754239218539e-06
81,складной_ADJ,0.43880313634872437,5.6205542923485285e-06
192,незапертый_ADJ,0.4366193115711212,1.1411347344938793e-06
77,мозаичный_ADJ,0.4359133839607239,2.3162890271000594e-06
125,спасенный_ADJ,0.43576064705848694,8.62495289462526e-07
190,многоугольный_ADJ,0.4330219626426697,2.8988773824125924e-07
67,жидкий_ADJ,0.43217194080352783,3.531331660232411e-05
122,амбарный_ADJ,0.4317288100719452,1.9144289619160612e-06
150,крещеный_ADJ,0.42937707901000977,3.977724371274195e-06
215,общераспространенный_ADJ,0.42528682947158813,6.268264266953656e-07
182,поршневый_ADJ,0.4241769313812256,4.517953305256552e-07
75,древнеримский_ADJ,0.4234308898448944,1.222328976390534e-06
133,бумажный_ADJ,0.4233395457267761,3.338705368317489e-05
53,кастильский_ADJ,0.4230835437774658,4.017150619580098e-07
59,заматерелый_ADJ,0.4230046272277832,4.941921896938531e-07
232,крестообразный_ADJ,0.4221417009830475,1.0046281250755695e-06
242,колокольный_ADJ,0.4206309914588928,6.827110091206395e-06
184,тропический_ADJ,0.42060673236846924,1.2045282612501491e-05
8,туповатый_ADJ,0.41940057277679443,1.4192258852632802e-06
55,похмельный_ADJ,0.4151057302951813,1.9148899945965776e-06
104,спорный_ADJ,0.41386640071868896,1.2702534541684689e-05
160,обольстительный_ADJ,0.4115138649940491,3.000480251173724e-06
162,патентованный_ADJ,0.40991896390914917,4.2479262712972583e-07
146,умопостигаемый_ADJ,0.4085080921649933,3.286239111693737e-07
143,физиологический_ADJ,0.4074293076992035,1.841424811229558e-05
142,архитектурный_ADJ,0.4072660207748413,1.8534734111114423e-05
40,оглушительный_ADJ,0.40517085790634155,9.942179904525895e-06
96,пористый_ADJ,0.40393081307411194,2.6713842353892638e-06
56,нотный_ADJ,0.4030797779560089,3.6865086486942953e-06
78,разноязычный_ADJ,0.4001668095588684,8.004170993785656e-07
188,массивный_ADJ,0.39959126710891724,1.7054650067296803e-05
227,теократический_ADJ,0.3980385959148407,9.166928952821432e-07
21,своенравный_ADJ,0.3970200717449188,3.0200159846949895e-06
137,неприютный_ADJ,0.3967633545398712,7.664308199247253e-07
85,самаркандский_ADJ,0.396586149930954,9.308243152838415e-07
107,грамматический_ADJ,0.3962503671646118,8.201723110582729e-06
37,ощутимый_ADJ,0.39594435691833496,9.08220255090245e-06
109,психофизический_ADJ,0.3942759037017822,2.130856256793494e-06
14,шестиэтажный_ADJ,0.3937973976135254,8.948597670690591e-07
4,незатейливый_ADJ,0.3933407962322235,3.848355847835924e-06
211,чистоплотный_ADJ,0.3932839035987854,1.2978454146220568e-06
240,вавилонский_ADJ,0.3921908736228943,6.3841093379926336e-06
23,смешной_ADJ,0.39207664132118225,0.0001121478036329283
62,невинный_ADJ,0.3920430541038513,4.436902675393753e-05
151,безбожный_ADJ,0.39084118604660034,4.031362045507322e-06
129,безмолвный_ADJ,0.38962316513061523,1.4950799272696658e-05
145,простудный_ADJ,0.3875332772731781,8.416240699010736e-07
41,повышенный_ADJ,0.3873958885669708,9.172518843179537e-06
5,неправедный_ADJ,0.3855539560317993,3.6964266829687604e-06
0,чужеземный_ADJ,0.38510146737098694,4.161570526531244e-06
189,пищевой_ADJ,0.3826392889022827,1.701027176177766e-05
88,дутый_ADJ,0.38125306367874146,1.7319534794969905e-06
31,бесцельный_ADJ,0.3796173334121704,4.661619893256433e-06
33,необязательный_ADJ,0.3789527118206024,5.2436409069142205e-06
102,пограничный_ADJ,0.37775537371635437,2.328676682410185e-05
148,спинномозговой_ADJ,0.37676867842674255,7.001697979750853e-07
186,химический_ADJ,0.3761206567287445,7.577790747031499e-05
13,социалистический_ADJ,0.37524962425231934,6.667481388280214e-05
52,отглагольный_ADJ,0.375110000371933,3.8910644804238267e-07
124,неурожайный_ADJ,0.37470778822898865,8.579279626860665e-07
10,рукодельный_ADJ,0.37430381774902344,6.369266795447733e-07
177,эфирный_ADJ,0.3726237416267395,7.756340232182093e-06
19,извинительный_ADJ,0.3723389804363251,1.5115406532525774e-06
76,благовоспитанный_ADJ,0.37187764048576355,2.2907803584341737e-06
207,неподкупный_ADJ,0.3716759979724884,2.479774693585782e-06
231,тенишевский_ADJ,0.3711903393268585,6.010457022665692e-07
166,антисептический_ADJ,0.3711058497428894,4.726016496419084e-07
236,суэцкий_ADJ,0.37010031938552856,1.3486092227138943e-06
66,волшебный_ADJ,0.37009501457214355,3.7619014303087543e-05
165,несговорчивый_ADJ,0.3677993416786194,1.2116817432499962e-06
132,энергичный_ADJ,0.36755213141441345,3.109369668140913e-05
169,лотерейный_ADJ,0.36671221256256104,1.4789284860139633e-06
115,пошлейший_ADJ,0.3660476803779602,3.4740823387870405e-07
161,токарный_ADJ,0.3650720715522766,2.9868434173351817e-06
97,канатный_ADJ,0.36465832591056824,2.5278589887490557e-06
218,ограничительный_ADJ,0.3638593256473541,1.6367697243482773e-06
172,следственный_ADJ,0.3635833263397217,2.0780034657225495e-05
144,этимологический_ADJ,0.36259740591049194,8.466153631994699e-07
170,несвоевременный_ADJ,0.36230960488319397,3.2350312557624986e-06
178,заурядный_ADJ,0.3621702194213867,7.042434730241034e-06
204,глубочайший_ADJ,0.36208611726760864,7.681790513507354e-06
64,монотонный_ADJ,0.3604484498500824,5.958643992005677e-06
112,стадный_ADJ,0.3593252897262573,1.4015320837589626e-06
117,похвальный_ADJ,0.35691604018211365,9.173567801367481e-06
71,физико-химический_ADJ,0.35691311955451965,1.8402698735477157e-06
34,скульптурный_ADJ,0.355508416891098,5.2634956695111e-06
195,переводной_ADJ,0.354079931974411,3.3813955298690763e-06
243,радушный_ADJ,0.35404667258262634,6.647638817652411e-06
235,деликатный_ADJ,0.3528561592102051,1.273290607428648e-05
183,цифровой_ADJ,0.35275503993034363,1.1266329113234824e-05
16,фаллический_ADJ,0.35217323899269104,5.625364178507586e-07
36,гомеопатический_ADJ,0.3517550528049469,9.145527816330632e-06
174,братоубийственный_ADJ,0.35148680210113525,1.038321427234889e-06
94,числовой_ADJ,0.3514062166213989,2.2282131757492732e-06
70,многоразличный_ADJ,0.3504403531551361,1.8404921343457545e-06
202,генеалогический_ADJ,0.3485241234302521,2.0674561261332146e-06
135,талантливейший_ADJ,0.34835168719291687,1.6716480361714128e-06
118,утомительный_ADJ,0.34794947504997253,9.63101827863427e-06
68,антиномический_ADJ,0.3478860855102539,4.2605714540582207e-07
149,сочиненный_ADJ,0.34724855422973633,7.056948742236152e-07
63,казенный_ADJ,0.3467252254486084,5.550223487279282e-05
22,прозорливый_ADJ,0.34652718901634216,3.0648230258257464e-06
226,евангелический_ADJ,0.34313690662384033,9.1014789391325e-07
28,заклинательный_ADJ,0.3429830074310303,2.7703713033300133e-07
187,уголовный_ADJ,0.3422923684120178,7.526104388599371e-05
237,высокоразвитый_ADJ,0.3420250117778778,1.3546326726256997e-06
126,защитительный_ADJ,0.34009915590286255,1.295365578866228e-06
24,царский_ADJ,0.33806246519088745,0.00012901459385981876
193,малоподвижный_ADJ,0.33787965774536133,1.172559167271771e-06
93,тифозный_ADJ,0.3373035788536072,2.217293543944924e-06
12,школьный_ADJ,0.3368925154209137,6.499654857678725e-05
140,альтруистический_ADJ,0.3356732726097107,9.82120123820287e-07
38,прошлый_ADJ,0.3345036208629608,0.00017391856439819922
105,всегдашний_ADJ,0.33377450704574585,1.2209673021828206e-05
95,магазинный_ADJ,0.33271050453186035,2.696773209251371e-06
153,англосаксонский_ADJ,0.332281231880188,1.1035381579333366e-06
168,вращательный_ADJ,0.328926682472229,1.4502652289618832e-06
1,доисторический_ADJ,0.32765504717826843,4.151007207228184e-06
123,хлопковый_ADJ,0.3255978226661682,1.8924478596344448e-06
209,диаметральный_ADJ,0.32530564069747925,2.7579447587989543e-07
128,благотворительный_ADJ,0.32472464442253113,1.4666208766863314e-05
194,вещевой_ADJ,0.3240866959095001,3.4358705625247527e-06
57,пещерный_ADJ,0.315506249666214,3.88983896000221e-06
229,экзаменационный_ADJ,0.31401145458221436,2.4740507568220927e-06
154,заботливый_ADJ,0.31207600235939026,1.0769980859689185e-05
158,сейсмический_ADJ,0.31176382303237915,3.158513437268188e-06
82,несоразмерный_ADJ,0.3100191056728363,1.091956947283049e-06
46,недостоверный_ADJ,0.30490273237228394,1.983657595106911e-06
47,убойный_ADJ,0.3047115206718445,1.9728301719425938e-06
157,редакторский_ADJ,0.30378714203834534,2.768035156829351e-06
119,прибыльный_ADJ,0.3017084300518036,4.51022445378232e-06
198,послезавтрашний_ADJ,0.30047163367271423,3.7311004386372864e-07
25,попеременный_ADJ,0.2922455370426178,3.3144035501044066e-07
224,приближенный_ADJ,0.2911951541900635,1.1689222529940086e-06
196,текстильный_ADJ,0.2892563045024872,5.1493671636024105e-06
210,компилятивный_ADJ,0.28786855936050415,2.7092751032151483e-07
9,определительный_ADJ,0.28647440671920776,1.3878264127847269e-06
6,подворный_ADJ,0.2835666239261627,7.49480579407925e-07
213,сверхсильный_ADJ,0.28273287415504456,3.7891824258776795e-07
171,переговорный_ADJ,0.2823393642902374,3.2810590587448305e-06
113,мотивированный_ADJ,0.27691343426704407,1.4255399357955715e-06
42,прилежный_ADJ,0.267806738615036,4.4196602546060566e-06
241,апрельский_ADJ,0.2659052014350891,6.4452452557642915e-06
54,сметный_ADJ,0.2587963044643402,1.886960569346808e-06
44,встречный_ADJ,0.2521275281906128,2.841679612788662e-05
121,преемственный_ADJ,0.2518875300884247,5.364440456360624e-07
214,психопатологический_ADJ,0.24430744349956512,6.162566971725143e-07
176,моторный_ADJ,0.24202293157577515,7.452005565354423e-06
221,синтаксический_ADJ,0.24056561291217804,6.1300354203221765e-06
2,демократичный_ADJ,0.2404192090034485,2.764793654984593e-06
111,осязаемый_ADJ,0.2341795414686203,5.509575838745059e-07
127,зачетный_ADJ,0.23297423124313354,1.2978029721683568e-06
18,фантасмагорический_ADJ,0.22905682027339935,7.61092692042638e-07
234,питерский_ADJ,0.21573516726493835,1.2554433935252718e-05
48,некорректный_ADJ,0.2153894007205963,1.558886831800176e-06
131,заемный_ADJ,0.21422891318798065,3.610303642766332e-06
208,стратиграфический_ADJ,0.20938114821910858,5.188957158924374e-07
152,мажорный_ADJ,0.2093040645122528,1.134784902995288e-06
7,трехчасовый_ADJ,0.2068062722682953,7.45073829872485e-07
80,автобусный_ADJ,0.20331953465938568,5.521386411436949e-06
217,выдержанный_ADJ,0.19826319813728333,3.168613221582891e-07
130,карнавальный_ADJ,0.19743168354034424,3.537263030301451e-06
49,смирительный_ADJ,0.18622884154319763,1.5611774681493308e-06
156,песенный_ADJ,0.1791413426399231,2.8235887985413237e-06
108,пониженный_ADJ,0.166929230093956,2.168799764792991e-06
43,многонациональный_ADJ,0.09930825233459473,4.333666044224105e-06
89,неравноправный_ADJ,0.09026014804840088,4.793432317071887e-07
